Fabada asturiana,Modified Question,Answer,entities,
,Did Caroline von Paulus celebrate a silver anniversary with Serge Gainsbourg?,FALSE,"Caroline von Paulus (Q581225), Serge Gainsbourg (Q1698)",
,Did Lise Levitzky celebrate a silver anniversary with Serge Gainsbourg?,FALSE,"Lise Levitzky (Q3242501), Serge Gainsbourg (Q1698)",
,Did Giuseppina Raimondi celebrate a silver anniversary with Giuseppe Garibaldi?,FALSE,"Giuseppina Raimondi (Q3771693), Giuseppe Garibaldi (Q539)",
S40,Could Sura Iskenderli have had a performance during World War II?,FALSE,,
,Could Sena Şener have had a performance during World War II?,FALSE,Sena Şener (Q85974696),
,Could Gülben Ergen have had a performance during World War II?,FALSE,Gülben Ergen (Q434903),
,Could Selen Gülün have had a performance during World War II?,FALSE,Selen Gülün (Q97237236),
,Could Günel have had a performance during World War II?,FALSE,Günel (Q3181352),
,Could Umut Timur have had a performance during World War II?,FALSE,Umut Timur (Q109669840),
,Could Hatice have had a performance during World War II?,FALSE,Hatice (Q20474664),
,Could Simge have had a performance during World War II?,FALSE,Simge (Q20470555),
,Could Renan Demirkan have had a performance during World War II?,FALSE,Renan Demirkan (Q90878),
,Could Soner Arıca have had a performance during World War II?,FALSE,Soner Arıca (Q382110),
,Could Nazan Öncel have had a performance during World War II?,FALSE,Nazan Öncel (Q454067),
S41,Is the tibia necessary for someone to be able to win the Torneo Internazionale Regione Piemonte?,TRUE,,
,Is the tibia necessary for someone to be able to win the Engie Open Métropole 42?,TRUE,New Delhi Challenger (Q3875200),
,Is the tibia necessary for someone to be able to win the New Delhi Challenger?,TRUE,Engie Open Métropole 42 (Q3883111),
,Is the tibia necessary for someone to be able to win the Open GDF SUEZ de la Porte du Hainaut?,TRUE,Open GDF SUEZ de la Porte du Hainaut (Q3883193),
,Is the tibia necessary for someone to be able to win the Open GDF SUEZ du Périgord?,TRUE,Open GDF SUEZ du Périgord (Q3883215),
,Is the tibia necessary for someone to be able to win the Padova Challenge Open?,TRUE,Padova Challenge Open (Q3888758),
,Is the tibia necessary for someone to be able to win the Río de la Plata Challenger?,TRUE,Río de la Plata Challenger (Q3936244),
,Is the tibia necessary for someone to be able to win the Seguros Bolívar Open San José?,TRUE,Seguros Bolívar Open San José (Q3954565),
,Is the tibia necessary for someone to be able to win the Shreveport Challenger?,TRUE,Shreveport Challenger (Q3959809),
,Is the tibia necessary for someone to be able to win the VSZ Slovak Open?,TRUE,VSZ Slovak Open (Q7907578),
,Is the tibia necessary for someone to be able to win the Svijany Open?,TRUE,Svijany Open (Q14395789),
S42,Would someone in Panji Poyon refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,,
,Would someone in Anantabati refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,Anantabati (Q74516516),
,Would someone in Paschim Gazipur refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,Paschim Gazipur (Q74516474),
,Would someone in Oadipur refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,Oadipur (Q74516546),
,Would someone in Sankrailjala refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,Sankrailjala (Q74516579),
,Would someone in Ramachandrapuram refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,Ramachandrapuram (Q542856),
,Would someone in Jateshwar refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,Jateshwar (Q79229354),
,Would someone in Panji Poyon refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,Sisha-Jumrha (Q79229317),
,Would someone in Sisha-Jumrha refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,Devarakonda (Q1254798),
,Would someone in Govindgarh refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,Govindgarh (Q26789484),
,Would someone in Manirampur refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,Manirampur (Q25247967),
S43,Could an Abstang suffer from cytosporosis?,FALSE,,
,Could a Percheron suffer from cytosporosis?,FALSE,Percheron (Q1232528),
,Could a Kiso suffer from cytosporosis?,FALSE,Kiso (Q3396189),
,Could a Hrvatski toplokrvnjak suffer from cytosporosis?,FALSE,Hrvatski toplokrvnjak (Q55078175),
,Could a Patibarcina suffer from cytosporosis?,FALSE,Patibarcina (Q56304401),
,Could a Stara Planina suffer from cytosporosis?,FALSE,Stara Planina (Q12274319),
,Could a Jofi suffer from cytosporosis?,FALSE,Jofi (Q104587237),
,Could a Tattu suffer from cytosporosis?,FALSE,Tattu (Q106255722),
,Could a Jilin suffer from cytosporosis?,FALSE,Jilin (Q21658880),
,Could a Haflinger suffer from cytosporosis?,FALSE,Haflinger (Q609630),
,Could an Sorraia suffer from cytosporosis?,FALSE,Sorraia (Q927650),
S44,Was the author of Kitab al-A'laq al-Nafisah born near the Davarpanah Mausoleum?,TRUE,,
,Was the author of Min hand i min born near the Davarpanah Mausoleum?,TRUE,Min hand i min (Q126209399),
,Was the author of Min hand i min born near the Allameh Majlesi Mausoleum?,TRUE,Allameh Majlesi Mausoleum (Q112864196),
,Was the author of Kitab al-A'laq al-Nafisah born near the Allameh Majlesi Mausoleum?,TRUE,Allameh Majlesi Mausoleum (Q112864196),
,Was the author of The Course of Wisdom in Europe born near the Najmabadi Mausoleum?,TRUE,"The Course of Wisdom in Europe (Q5932172), Najmabadi Mausoleum (Q5892476)",
,Was the author of The Decline of Civilization born near the Najmabadi Mausoleum?,TRUE,"The Decline of Civilization (Q113349697), Najmabadi Mausoleum (Q5892476)",
,Was the author of Be Chehel Salegi At Resideam born near the Najmabadi Mausoleum?,TRUE,"Be Chehel Salegi At Resideam (Q105647343), Najmabadi Mausoleum (Q5892476)",
,Was the author of Out of Mesopotamia born near the Najmabadi Mausoleum?,TRUE,"Out of Mesopotamia (Q106900454), Najmabadi Mausoleum (Q5892476)",
,Was the author of Cooking in Iran born near the Najmabadi Mausoleum?,TRUE,"Cooking in Iran (Q109307418), Najmabadi Mausoleum (Q5892476)",
,Was the author of Cooking in Iran born near the Imamzadeh Naser al-Din?,TRUE,"Cooking in Iran (Q109307418), Imamzadeh Naser al-Din (Q5904120)",
,Was the author of Cooking in Iran born near the Imamzadeh Naser al-Din?,TRUE,"Out of Mesopotamia (Q106900454),Imamzadeh Naser al-Din (Q5904120)",
S45,Could Urmila Kanetkar- Kothare’s husband have been instrumental in the Indian independence movement?,FALSE,,
,Could Chand Bibi’s husband have been instrumental in the Indian independence movement?,FALSE,Chand Bibi (Q468192),
,Could Roopmati's husband have been instrumental in the Indian independence movement?,FALSE,Roopmati (Q3632367),
,Could Jijabai’s husband have been instrumental in the Indian independence movement?,FALSE,Jijabai (Q6192525),
,Could Mata Sundari’s husband have been instrumental in the Indian independence movement?,FALSE,Mata Sundari (Q6785898),
,Could Mata Tripta’s husband have been instrumental in the Indian independence movement?,FALSE,Mata Tripta (Q6785900),
,Could Shahar Banu Begum’s husband have been instrumental in the Indian independence movement?,FALSE,Shahar Banu Begum (Q16864265),
,Could Marina Kurup’s husband have been instrumental in the Indian independence movement?,FALSE,Marina Kurup (Q114565030),
,Could Tallapaka Akkamamba's husband have been instrumental in the Indian independence movement?,FALSE,Tallapaka Akkamamba (Q115613255),
,Could Queen Tripurasundari’s husband have been instrumental in the Indian independence movement?,FALSE,Queen Tripurasundari (Q7270526),
,Could Rajendra Rajya Lakshmi Devi’s husband have been instrumental in the Indian independence movement?,FALSE,Rajendra Rajya Lakshmi Devi (Q21069461),
S46,Could Quidam de Revel fit in HMS Abercrombie?,TRUE,,
,Could Quidam de Revel fit in SMS Novara?,TRUE,SMS Novara (Q665325),
,Could Quidam de Revel fit in SMS Frankfurt?,TRUE,SMS Frankfurt (Q833582),
,Could Quidam de Revel fit in Edgar Quinet?,TRUE,Edgar Quinet (Q964988),
,Could Quidam de Revel fit in SMS Mainz?,TRUE,SMS Mainz (Q535014),
,Could Quidam de Revel fit in HMS Hyacinth?,TRUE,HMS Hyacinth (Q2578016),
,Could Quidam de Revel fit in HMS Cambrian?,TRUE,HMS Cambrian (Q1564469),
,Could Quidam de Revel fit in HMS Flora?,TRUE,HMS Flora (Q5632445),
,Could Quidam de Revel fit in SMS Condor?,TRUE,SMS Condor (Q2206808),
,Could Quidam de Revel fit in SMS Cöln?,TRUE,SMS Cöln (Q540425),
,Could Quidam de Revel fit in HMAS Canberra?,TRUE,HMAS Canberra (Q1303961),
S47,Could Ludmilla Pajo have operated a motor vehicle?,TRUE,,
,Could Sergio Kalaj have operated a motor vehicle?,TRUE,Sergio Kalaj (Q64520297),
,Could Uendi Muja have operated a motor vehicle?,TRUE,Uendi Muja (Q97751173),
,Could Boralda Aliaj have operated a motor vehicle?,TRUE,Boralda Aliaj (Q97764148),
,Could Aidena Mustafaj have operated a motor vehicle?,TRUE,Aidena Mustafaj (Q66836333),
,Could Cyme Lulaj  have operated a motor vehicle?,TRUE,Cyme Lulaj (Q66836371),
,Could Kristina Maksuti have operated a motor vehicle?,TRUE,Kristina Maksuti (Q66836415),
,Could Zylfije Bajramaj have operated a motor vehicle?,TRUE,Zylfije Bajramaj (Q66836526),
,Could Fatbardha Kastrati have operated a motor vehicle?,TRUE,Fatbardha Kastrati (Q66841080),
,Could Arinaldo Rrapaj have operated a motor vehicle?,TRUE,Arinaldo Rrapaj (Q97936684),
,Could Meriem Isa have operated a motor vehicle?,TRUE,Meriem Isa (Q98066987),
S48,Could Nizam-ud-din Auliya have served on the Court of Cassation?,FALSE,,
,Could Zacharias Chrysopolitanus have served on the Court of Cassation?,FALSE,Zacharias Chrysopolitanus (Q139475),
,Could Jean de Tournes have served on the Court of Cassation?,FALSE,Jean de Tournes (Q174839),
,Could Antoine Augereau have served on the Court of Cassation?,FALSE,Antoine Augereau (Q176663),
,Could Simon de Crépy have served on the Court of Cassation?,FALSE,Simon de Crépy (Q176550),
,Could François Martin have served on the Court of Cassation?,FALSE,François Martin (Q177056),
,Could Anselm de Joinville have served on the Court of Cassation?,FALSE,Anselm de Joinville (Q179085),
,Could François Boucher have served on the Court of Cassation?,FALSE,François Boucher (Q180932),
,Could Louis de Sancerre have served on the Court of Cassation?,FALSE,Louis de Sancerre (Q182332),
,Could Robin Mallapert have served on the Court of Cassation?,FALSE,Robin Mallapert (Q194007),
,Could Jacques Bénigne Bossuet have served on the Court of Cassation?,FALSE,Jacques Bénigne Bossuet (Q294100),
S49,Is it likely for Eve Uusmees’ husband to be able to physically defend himself?,TRUE,,
,Is it likely for Dolly Sinatra to be able to physically defend herself?,TRUE,Dolly Sinatra (Q21078200),
,Is it likely for Manuela Falorni to be able to physically defend herself?,TRUE,Manuela Falorni (Q3845085),
,Is it likely for Fulvia Franco to be able to physically defend herself?,TRUE,Fulvia Franco (Q1396089),
,Is it likely for Laura Maddaloni to be able to physically defend herself?,TRUE,Laura Maddaloni (Q15290632),
,Is it likely for Rocío Jurado to be able to physically defend herself?,TRUE,Rocío Jurado (Q259152),
,Is it likely for Leonora Summers to be able to physically defend herself?,TRUE,Leonora Summers (Q55419636),
,Is it likely for Satomi Toguchi to be able to physically defend herself?,TRUE,Satomi Toguchi (Q11561887),
,Is it likely for Barbie Itungo Kyagulanyi to be able to physically defend herself?,TRUE,Barbie Itungo Kyagulanyi (Q62076449),
,Is it likely for Jean Hatton to be able to physically defend herself?,TRUE,Jean Hatton (Q76322831),
,Is it likely for Lisvel Elisa Eve to be able to physically defend herself?,TRUE,Lisvel Elisa Eve (Q2437053),
S50,Did Shahrnush Parsipur and Marzieh Vafamehr have similar taste in men?,TRUE,,
,Did Maria Damanaki and Margarita Zorbala have similar taste in men?,TRUE,"Maria Damanaki (Q261709), Margarita Zorbala (Q4676246)",
,Did Keti Chomata and Lila Kafantari have similar taste in men?,TRUE,"Keti Chomata (Q437586), Lila Kafantari (Q19725505)",
,Did Aliki Vougiouklaki and Nana Eilikrini have similar taste in men?,TRUE,"Aliki Vougiouklaki (Q451116), Nana Eilikrini (Q117187891)",
,Did Beata Asimakopoulou and Stella Greka have similar taste in men?,TRUE,"Beata Asimakopoulou (Q1936269), Stella Greka (Q16329020)
",
,Did Ruxandra Dumitrescu and Dora Tsambazi have similar taste in men?,TRUE,"Ruxandra Dumitrescu (Q2170613), Dora Tsambazi (Q124742081)",
,Did Anna Vissi and Annita Pania have similar taste in men?,TRUE,"Anna Vissi (Q229606), Annita Pania (Q4769543)",
,Did Peggy Zina and Kaiti Finou have similar taset in men?,TRUE,"Peggy Zina (Q2363489), Kaiti Finou (Q15920516)",
,Did Katia Danoulaki and Ellie Lambeti have similar taste in men?,TRUE,"Katia Dandoulaki (Q6377362), Ellie Lambeti (Q3566368)",
,Did Keti Papanika and Angelika Kapellari have similar taste in men?,TRUE,"Keti Papanika (Q6395401), Angelika Kapellari (Q62121125)",
,Did Maria Foka and Tzeni Kollarou have similar taste in men?,TRUE,"Maria Foka (Q6761206), Tzeni Kollarou (Q64225290)",
S51,Could Ianis Hagi’s dad have seen his debut in Serie A?,TRUE,,
,Could Massimo Crippa’s dad have seen his debut in Serie A?,TRUE,Massimo Crippa (Q646043),
,Could Daniele Conti’s dad have seen his debut in Serie A?,TRUE,Daniele Conti (Q933973),
,Could Michele Marcolini’s dad have seen his debut in Serie A?,TRUE,Michele Marcolini (Q2162463),
,Could Gianluca Savoldi’s dad have seen his debut in Serie A?,TRUE,Gianluca Savoldi (Q2946829),
,Could Niccolò Galli’s dad have seen his debut in Serie A?,TRUE,Niccolò Galli (Q3875865),
,Could Filip Stanković’s dad have seen his debut in Serie A?,TRUE,Filip Stanković (Q98929151),
,Could Stefano Sorrentino’s dad have seen his debut in Serie A?,TRUE,Stefano Sorrentino (Q519664),
,Could Andrea Mancini’s dad have seen his debut in Serie A?,TRUE,Andrea Mancini (Q4755167),
,Could Gabriele Marchegiani’s dad have seen his debut in Serie A?,TRUE,Gabriele Marchegiani (Q28968066),
,Could Lorenzo Di Livio’s dad have seen his debut in Serie A?,TRUE,Lorenzo Di Livio (Q22046804),
S52,Did Koji Kuramoto compete in an Olympics hosted in the western hemisphere?,TRUE,,
,Did Hitomi Matsushita compete in an Olympics hosted in the western hemisphere?,TRUE,Hitomi Matsushita (Q5872234),
,Did Masaru Motegi compete in an Olympics hosted in the western hemisphere?,TRUE,Masaru Motegi (Q6782652),
,Did Toshiaki Inoue compete in an Olympics hosted in the western hemisphere?,TRUE,Toshiaki Inoue (Q7827624),
,Did Koji Kuramoto compete in an Olympics hosted in the western hemisphere?,TRUE,Kōji Yamamoto (Q11469182),
,Did Fumio Saitō compete in an Olympics hosted in the western hemisphere?,TRUE,Fumio Saitō (Q11500583),
,Did Shōji Yūki compete in an Olympics hosted in the western hemisphere?,TRUE,Shōji Yūki (Q11606592),
,Did Tetsuo Nishimoto compete in an Olympics hosted in the western hemisphere?,TRUE,Tetsuo Nishimoto (Q1396920),
,Did Akira Kubo compete in an Olympics hosted in the western hemisphere?,TRUE,Akira Kubo (Q4701147),
,Did Mikiko Kato compete in an Olympics hosted in the western hemisphere?,TRUE,Mikiko Kato (Q6849877),
,Did Sadao Sato compete in an Olympics hosted in the western hemisphere?,TRUE,Sadao Sato (Q7397560),
S53,Could Yusuf Çetin have been a target of Islamophobia?,FALSE,,
,Could Dionysios İsa Gürbüz have been a target of Islamophobia?,FALSE,Dionysios İsa Gürbüz (Q576674),
,Could Athanasios Papas have been a target of Islamophobia?,FALSE,Athanasios Papas (Q14932371),
,Could Emilianos Zacharopoulos have been a target of Islamophobia?,FALSE,Emilianos Zacharopoulos (Q1337304),
,Could Hayko Cepkin have been a target of Islamophobia?,FALSE,Hayko Cepkin (Q947840),
,Could Johannes Avetaranian have been a target of Islamophobia?,FALSE,Johannes Avetaranian (Q1697191),
,Could Sabri Anar have been a target of Islamophobia?,FALSE,Sabri Anar (Q109673791),
,Could Pavlos Menevisoglou have been a target of Islamophobia?,FALSE,Pavlos Menevisoglou (Q4341229),
,Could Yusuf Akbulut have been a target of Islamophobia?,FALSE,Yusuf Akbulut (Q8061926),
,Could Youssouf Bey have been a target of Islamophobia?,FALSE,Youssouf Bey (Q6062035),
,Could Hanna Aydın have been a target of Islamophobia?,FALSE,Hanna Aydın (Q877251),
S54,Did either Möngke Khan or his father practice monogamy?,FALSE,,
,Did either Xianfeng Emperorn or his father practice monogamy?,FALSE,Xianfeng Emperor (Q334452),
,Did either Naser al-Din Shah Qajar or his father practice monogamy?,FALSE,Naser al-Din Shah Qajar (Q159416),
,Did either Ramesses II or his father practice monogamy?,FALSE,Ramesses II (Q1523),
,Did either Berenice III or her father practice monogamy?,FALSE,Berenice III (Q231688),
,Did either Ptolemy IX Lathyros or his father practice monogamy?,FALSE,Ptolemy IX Lathyros (Q3340),
,Did either Cleopatra IV of Egypt or,FALSE,Cleopatra IV of Egypt (Q40023),
,Did either Cleopatra Selene of Egypt and Syria or her father practice monogamy?,FALSE,Cleopatra Selene of Egypt and Syria (Q40027),
,Did either Bayezid II or his father practice monogamy?,FALSE,Bayezid II (Q165983),
,Did either Mentuhotep II or his father practice monogamy?,FALSE,Mentuhotep II (Q296439),
,Did either Ahmad Sanjar or his father practice monogamy?,FALSE,Ahmad Sanjar (Q337506),
S55,Did Ala al-Din Muhammad III suffer from a mental disorder?,TRUE,,
,Did Ronnie McNutt suffer from a mental disorder?,TRUE,Ronnie McNutt (Q110980036),
,Did Jada Alberts suffer from a mental disorder?,TRUE,Jada Alberts (Q68768548),
,Did Loïk Le Priol suffer from a mental disorder?,TRUE,Loïk Le Priol (Q111307763),
,Did Kyle Rittenhouse suffer from a mental disorder?,TRUE,Kyle Rittenhouse (Q98663135),
,Did Alicia Kozakiewicz suffer from a mental disorder?,TRUE,Alicia Kozakiewicz (Q19864767),
,Did Donna Williams suffer from a mental disorder?,TRUE,Donna Williams (Q441389),
,Did Khairi Saadallah suffer from a mental,TRUE,Khairi Saadallah (Q116730778),
,Did Nicholas Brody suffer from a mental disorder?,TRUE,Nicholas Brody (Q12177503),
,Did Connie Glynn suffer from a mental disorder?,TRUE,Connie Glynn (Q55510399),
,Did Karl Posener suffer from a mental disorder?,TRUE,Karl Posener (Q55859084),
S56,Is the first S in the official abbreviated name of SBS TV's owner named after a city?,TRUE,,
,Is it likely for Murat Telibekov to avoid a dish with ham?,TRUE,Murat Telibekov (Q15074591),
,Is it likely for Iurie Arcan to avoid a dish with ham?,TRUE,Iurie Arcan (Q4785208),
,Is it likely for Sabina Altynbekova to avoid a dish with ham?,TRUE,Sabina Altynbekova (Q17413110),
,Is it likely for Felicija Radlinskienė to avoid a dish with ham?,TRUE,Felicija Radlinskienė (Q110002009),
,Is it likely for Jełubaj Abiłow to avoid a dish with ham?,TRUE,Jełubaj Abiłow (Q15063877),
,Is it likely for Modibo Diaby to avoid a dish with ham?,TRUE,Modibo Diaby (Q93977462),
,Is it likely for Jonas Radlinskas to avoid a dish with ham?,TRUE,Jonas Radlinskas (Q110002006),
,Is it likely for Emel Emin to avoid a dish with ham?,TRUE,Emel Emin (Q18205921),
,Is it likely for Rodolfo Gil Grimau to avoid a dish with ham?,TRUE,Rodolfo Gil Grimau (Q5401885),
,Is it likely for Jorvan Vieira to avoid a dish with ham?,TRUE,Jorvan Vieira (Q1371926),
S57,"At a presentation about post traumatic stress disorder, would Deena Lynch be a topic of relevance?",TRUE,,
,"At a presentation about post traumatic stress disorder, would Ronnie McNutt be a topic of relevance?",TRUE,Ronnie McNutt (Q110980036),
,"At a presentation about post traumatic stress disorder, would Jada Alberts be a topic of relevance?",TRUE,Jada Alberts (Q68768548),
,"At a presentation about post traumatic stress disorder, would Loïk Le Priol be a topic of relevance?",TRUE,Loïk Le Priol (Q111307763),
,"At a presentation about post traumatic stress disorder, would Kyle Rittenhouse be a topic of relevance?",TRUE,Kyle Rittenhouse (Q98663135),
,"At a presentation about post traumatic stress disorder, would Alicia Kozakiewicz be a topic of relevance?",TRUE,Alicia Kozakiewicz (Q19864767),
,"At a presentation about post traumatic stress disorder, would Donna Williams be a topic of relevance?",TRUE,Donna Williams (Q441389),
,"At a presentation about post traumatic stress disorder, would Khairi Saadallah be a topic of relevance?",TRUE,Khairi Saadallah (Q116730778),
,"At a presentation about post traumatic stress disorder, would Nicholas Brody be a topic of relevance?",TRUE,Nicholas Brody (Q12177503),
,"At a presentation about post traumatic stress disorder, would Connie Glynn be a topic of relevance?",TRUE,Connie Glynn (Q55510399),
,"At a presentation about post traumatic stress disorder, would Karl Posener be a topic of relevance?",TRUE,Karl Posener (Q55859084),
S58,Could Giovanni Battista Crespi have read L'apostolato popolare?,FALSE,,
,Could Francesco Piranesi have read L'apostolato popolare?,FALSE,Francesco Piranesi (Q336028),
,Could Agostino Ciampelli have read L'apostolato popolare?,FALSE,Agostino Ciampelli (Q1061864),
,Could Benedetto di Michele Squilli have read L'apostolato popolare?,FALSE,Benedetto di Michele Squilli (Q87411278),
,Could Giovanni Battista Piranesi have read L'apostolato popolare?,FALSE,Giovanni Battista Piranesi (Q316307),
,Could Carlo Cesio have read L'apostolato popolare?,FALSE,Carlo Cesio (Q2918353),
,Could Paolo Vergani have read L'apostolato popolare?,FALSE,Paolo Vergani (Q7132257),
,Could Simone Balsamino have read L'apostolato popolare?,FALSE,Simone Balsamino (Q7520256),
,Could Luca Cambiaso have read L'apostolato popolare?,FALSE,Luca Cambiaso (Q712512),
,Could Jacopo Amigoni have read L'apostolato popolare?,FALSE,Jacopo Amigoni (Q380897),
,Could Francesco Rustici have read L'apostolato popolare?,FALSE,Francesco Rustici (Q466736),
S59,Could Andreas Knopken have seen the play Verklungene Feste?,FALSE,,
,Could Kuno von Moltke have seen the play Verklungene Feste?,FALSE,Kuno von Moltke (Q66400),
,Could Valens Acidalius have seen the play Verklungene Feste?,FALSE,Valens Acidalius (Q66909),
,Could Hans Fruhstorfer have seen the play Verklungene Feste?,FALSE,Hans Fruhstorfer (Q67314),
,Could Jakob Thomasius have seen the play Verklungene Feste?,FALSE,Jakob Thomasius (Q67323),
,Could Aaron Bernstein have seen the play Verklungene Feste?,FALSE,Aaron Bernstein (Q67583),
,Could Karl von den Steinen have seen the play Verklungene Feste?,FALSE,Karl von den Steinen (Q67459),
,Could Johann Gerhard have seen the play Verklungene Feste?,FALSE,Johann Gerhard (Q67477),
,Could Johann Andreas Eisenmenger have seen the play Verklungene Feste?,FALSE,Johann Andreas Eisenmenger (Q67575),
,Could Max Bauer have seen the play Verklungene Feste?,FALSE,Max Bauer (Q67930),
,Could Peter Binsfeld have seen the play Verklungene Feste?,FALSE,Peter Binsfeld (Q67958),
S60,Is it likely for the director of Demitri Cantemir to fast during Ramadan?,FALSE,,
,Is it likely for the director of The Mountain Wreath to fast during Ramadan?,FALSE,The Mountain Wreath (Q31187466),
,Is it likely for the director of Korabl to fast during Ramadan?,FALSE,Korabl (Q116864904),
,Is it likely for the director of The Arbiter to fast during Ramadan?,FALSE,The Arbiter (Q4068665),
,Is it likely for the director of Purgatory to fast during Ramadan?,FALSE,Purgatory (Q4516413),
,Is it likely for the director of Wedding Kisses to fast during Ramadan?,FALSE,Wedding Kisses (Q4146133),
,Is it likely for the director of Grim Tales from Russia to fast during Ramadan?,FALSE,Grim Tales from Russia (Q4400676),
,Is it likely for the director of Neptune's Feast to fast during Ramadan?,FALSE,Neptune's Feast (Q4376311),
,Is it likely for the director of Don't Think About White Monkeys to fast during Ramadan?,FALSE,Don't Think About White Monkeys (Q4315398),
,Is it likely for the director of Nemtsov to fast during Ramadan?,FALSE,Nemtsov (Q46996544),
,Is it likely for the director of They Chose Freedom to fast during Ramadan?,FALSE,They Chose Freedom (Q4334878),
S61,Is it likely for Aaron Hyman to avoid a dish with ham?,TRUE,,
,Is it likely for Yuri Kochiyama to avoid a dish with ham?,TRUE,Yuri Kochiyama (Q8061525),
,Is it likely for Aukai Collins to avoid a dish with ham?,TRUE,Aukai Collins (Q4072412),
,Is it likely for Sean Stone to avoid a dish with ham?,TRUE,Sean Stone (Q256666),
,Is it likely for Eric Harroun to avoid a dish with ham?,TRUE,Eric Harroun (Q16222206),
,Is it likely for Ronald Bell to avoid a dish with ham?,TRUE,Ronald Bell (Q7364677),
,Is it likely for Betty Shabazz to avoid a dish with ham?,TRUE,Betty Shabazz (Q469198),
,Is it likely for Kal Naga to avoid a dish with ham?,TRUE,Kal Naga (Q6399296),
,Is it likely for Douglas McCain to avoid a dish with ham?,TRUE,Douglas McCain (Q17682628),
,Is it likely for MC Ren to avoid a dish with ham?,TRUE,MC Ren (Q348615),
,Is it likely for Bryant Neal Vinas to avoid a dish with ham?,TRUE,Bryant Neal Vinas (Q4980600),
S62,Was Bayu Gatra Sanggiawan’s income mostly paid to him in renminbi?,FALSE,,
,Was Reza Karmolachaab’s income mostly paid to him in renminbi?,FALSE,Reza Karmolachaab (Q18637544),
,Was Sina Hatami’s income mostly paid to him in renminbi?,FALSE,Sina Hatami (Q118956180),
,Was Saeid Sadeghi’s income mostly paid to him in renminbi?,FALSE,Saeid Sadeghi (Q65195485),
,Was Mojtaba Bijan’s income mostly paid to him in renminbi?,FALSE,Mojtaba Bijan (Q65195060),
,Was Matin Karimzadeh’s income mostly paid to him in renminbi?,FALSE,Matin Karimzadeh (Q79708672),
,Was Sarawut Yodyinghathaikul’s income mostly paid to him in renminbi?,FALSE,Sarawut Yodyinghathaikul (Q83475148),
,Was Chanatphol Sikkamonthol’s income mostly paid to him in renminbi?,FALSE,Chanatphol Sikkamonthol (Q85165748),
,Was Rachan Prasitthong’s income mostly paid to him in renminbi?,FALSE,Rachan Prasitthong (Q85165820),
,Was Nattawut Chootiwat’s income mostly paid to him in renminbi?,FALSE,Nattawut Chootiwat (Q55584700),
,Was Korraphat Narichan’s income mostly paid to him in renminbi?,FALSE,Korraphat Narichan (Q55830108),
S63,Would it be possible for a cheetah to have lived during the whole Laotian Civil War?,TRUE,,
,Would it be possible for a cheetah to have lived during the whole Second Congo War?,TRUE,Second Congo War (Q75756),
,Would it be possible for a cheetah to have lived during the whole Danzig rebellion?,TRUE,Danzig rebellion (Q617281),
,Would it be possible for a cheetah to have lived during the whole Cayuse War?,TRUE,Cayuse War (Q1052060),
,Would it be possible for a cheetah to have lived during the whole Pastry War?,TRUE,Pastry War (Q856168),
,Would it be possible for a cheetah to have lived during the whole Djiboutian–Eritrean border conflict?,TRUE,Djiboutian–Eritrean border conflict (Q1354920),
,Would it be possible for a cheetah to have lived during the whole Sand War?,TRUE,Sand War (Q1891008),
,Would it be possible for a cheetah to have lived during the whole Tuscarora War?,TRUE,Tuscarora War (Q2038126),
,Would it be possible for a cheetah to have lived during the whole Baussenque Wars?,TRUE,Baussenque Wars (Q1991457),
,Would it be possible for a cheetah to have lived during the whole Demetrius War?,TRUE,Demetrius War (Q16327601),
,Would it be possible for a cheetah to have lived during the whole Shoubak Revolt?,TRUE,Shoubak Revolt (Q64019715),
S64,Is Vegeterrible considered an anime?,FALSE,,
,Is Sooriland considered an anime?,FALSE,Sooriland (Q56357054),
,Is The Time Carousel considered an anime?,FALSE,The Time Carousel (Q114248411),
,Is Marvin the Martian in the Third Dimension considered an anime?,FALSE,Marvin the Martian in the Third Dimension (Q6778526),
,Is Lamp Life considered an anime?,FALSE,Lamp Life (Q89375091),
,Is Harvie Krumpet considered an anime?,FALSE,Harvie Krumpet (Q1587974),
,Is The Wrong Trousers considered an,FALSE,The Wrong Trousers (Q1969617),
,Is Watership Down considered an anime?,FALSE,Watership Down (Q2165639),
,Is Strings considered an anime?,FALSE,Strings (Q2356353),
,Is Shapoklyak considered an anime?,FALSE,Shapoklyak (Q2278458),
,Is The Snow Maiden considered an anime?,FALSE,The Snow Maiden (Q2033042),
S65,Is Channur Khalsa located south of Ziadin?,TRUE,,
,Is Shimulpur located south of Ziadin?,TRUE,Shimulpur (Q74337202),
