ID,Modified Question,Answer,
,Lee Na-hyeon is likely to have experienced menopause by the year 2060.,TRUE,Lee Na-hyeon (Q124458412)
,Yoo Ye Eun is likely to have experienced menopause by the year 2060.,TRUE,Yoo Ye Eun (Q1101746)
C29,IKCO Samand uses friction to brake or slow down to come to a stop.,TRUE,
,Plymouth Valiant uses friction to brake or slow down to come to a stop.,TRUE,Plymouth Valiant (Q525947)
,Plymouth Fury uses friction to brake or slow down to come to a stop.,TRUE,Plymouth Fury (Q765277)
,Edsel Corsair uses friction to brake or slow down to come to a stop.,TRUE,Edsel Corsair (Q1238173)
,Volvo Amazon uses friction to brake or slow down to come to a stop.,TRUE,Volvo Amazon (Q1543111)
,Pontiac Silver Streak uses friction to brake or slow down to come to a stop.,TRUE,Pontiac Silver Streak (Q2103811)
,Ford Falcon uses friction to brake or slow down to come to a stop.,TRUE,Ford Falcon (Q11023856)
,Checker Marathon uses friction to brake or slow down to come to a stop.,TRUE,Checker Marathon (Q181703)
,Chevrolet Biscayne uses friction to brake or slow down to come to a stop.,TRUE,Chevrolet Biscayne (Q514347)
,Ford LTD uses friction to brake or slow down to come to a stop.,TRUE,Ford LTD (Q175794)
,Chevrolet Superior uses friction to brake or slow down to come to a stop.,TRUE,Chevrolet Superior (Q1071289)
C30,Tibor Bártfay descended from a Scottish physicist.,FALSE,
,Mary O'Rourke descended from a Scottish physicist.,FALSE,Mary O'Rourke (Q540847)
,Mairéad Ní Mhaonaigh descended from a Scottish physicist.,FALSE,Mairéad Ní Mhaonaigh (Q660794)
,Mary Coughlan descended from a Scottish physicist.,FALSE,Mary Coughlan (Q444705)
,Patricia Cockburn descended from a Scottish physicist.,FALSE,Patricia Cockburn (Q55533095)
,Eavan Boland descended from a Scottish physicist.,FALSE,Eavan Boland (Q5331464)
,Jasmine Guinness descended from a Scottish physicist.,FALSE,Jasmine Guinness (Q6161764)
,Violet Powell descended from a Scottish physicist.,FALSE,Violet Powell (Q6470588)
,Nora Connolly O'Brien descended from a Scottish physicist.,FALSE,Nora Connolly O'Brien (Q7050077)
,Valerie Goulding descended from a Scottish physicist.,FALSE,Valerie Goulding (Q7911276)
,Daphne Guinness descended from a Scottish physicist.,FALSE,Daphne Guinness (Q798174)
C31,It is very likely that Arnold Lazarus was aware of who Sigmund Freud was.,TRUE,
,Anthony Clare was aware of who Sigmund Freud was.,TRUE,Anthony Clare (Q4772271)
,Arthur Colahan was aware of who Sigmund Freud was.,TRUE,Arthur Colahan (Q4798301)
,Nessa Childers was aware of who Sigmund Freud was.,TRUE,Nessa Childers (Q525282)
,Stella O'Malley was aware of who Sigmund Freud was.,TRUE,Stella O'Malley (Q109354659)
,Dermot Patrick Curtin was aware of who Sigmund Freud was.,TRUE,Dermot Patrick Curtin (Q64019266)
,Patricia Casey was aware of who Sigmund Freud was.,TRUE,Patricia Casey (Q7145506)
,Donal F. Early was aware of who Sigmund Freud was.,TRUE,Donal F. Early (Q5293861)
,Moosajee Bhamjee was aware of who Sigmund Freud was.,TRUE,Moosajee Bhamjee (Q6908540)
,Richard Sadlier was aware of who Sigmund Freud was.,TRUE,Richard Sadlier (Q3934871)
,Julia Samuel was aware of who Sigmund Freud was.,TRUE,Julia Samuel (Q19559944)
C32,Lake Urmia ceases to exist because of drought.,FALSE,
,Sarygamysh Lake ceases to exist because of drought.,FALSE,Sarygamysh Lake (Q257416)
,Rybatskiy Zaliv ceases to exist because of drought.,FALSE,Rybatskiy Zaliv (Q59906071)
,Deuhana ceases to exist because of drought.,FALSE,Deuhana (Q56640698)
,Tallimarjon Suv Ombori ceases to exist because of drought.,FALSE,Tallimarjon Suv Ombori (Q2390307)
,Kattaqo'rg'on Suv Ombori ceases to exist because of drought.,FALSE,Kattaqo'rg'on Suv Ombori (Q15304573)
,Tuyabuguz Reservoir ceases to exist because of drought.,FALSE,Tuyabuguz Reservoir (Q7857240)
,Aquapark lake in Tashkent ceases to exist because of drought.,FALSE,Aquapark lake in Tashkent (Q20081113)
,Aqshako'l Ko'l ceases to exist because of drought.,FALSE,Aqshako'l Ko'l (Q31871814)
,Dehqonobod Suv Ombori ceases to exist because of drought.,FALSE,Dehqonobod Suv Ombori (Q31910191)
,Ozero Sok-Kul' ceases to exist because of drought.,FALSE,Ozero Sok-Kul' (Q31982138)
C33,Nancy Chodorow acted in many movies.,FALSE,
,Sena Şener acted in many movies.,FALSE,Sena Şener (Q85974696)
,Gülben Ergen acted in many movies.,FALSE,Gülben Ergen (Q434903)
,Selen Gülün acted in many movies.,FALSE,Selen Gülün (Q97237236)
,Günel acted in many movies.,FALSE,Günel (Q3181352)
,Umut Timur acted in many movies.,FALSE,Umut Timur (Q109669840)
,Hatice acted in many movies.,FALSE,Hatice (Q20474664)
,Simge acted in many movies.,FALSE,Simge (Q20470555)
,Renan Demirkan acted in many movies.,FALSE,Renan Demirkan (Q90878)
,Soner Arıca acted in many movies.,FALSE,Soner Arıca (Q382110)
,Nazan Öncel acted in many movies.,FALSE,Nazan Öncel (Q454067)
C34,The political ideologies of the Fuerza Nacional and the Tudeh Party of Iran go hand in hand.,FALSE,
,The political ideologies of the Fuerza Nacional and the People’s Democratic Party of Afghanistan go hand in hand.,FALSE,People’s Democratic Party of Afghanistan (Q1186355)
,The political ideologies of the Fuerza Nacional and the Afghanistan Liberation Organization go hand in hand.,FALSE,Afghanistan Liberation Organization (Q3364651)
,The political ideologies of the Fuerza Nacional and the Nabard Group go hand in hand.,FALSE,Nabard Group (Q115729683)
,The political ideologies of the Fuerza Nacional and the Komala of Revolutionary Toilers of Iranian Kurdistan go hand in hand.,FALSE,Komala of Revolutionary Toilers of Iranian Kurdistan (Q117457351)
,The political ideologies of the Fuerza Nacional and the Workers’ Party of South Korea go hand in hand.,FALSE,Workers’ Party of South Korea (Q49621)
,The political ideologies of the Fuerza Nacional and the Arman Group go hand in hand.,FALSE,Arman Group (Q115730512)
,The political ideologies of the Fuerza Nacional and the People's Democracy Party go hand in hand.,FALSE,People's Democracy Party (Q39079242)
,The political ideologies of the Fuerza Nacional and the United Issarak Front go hand in hand.,FALSE,United Issarak Front (Q3365477)
,The political ideologies of the Fuerza Nacional and the Komala in Iraq go hand in hand.,FALSE,Komala in Iraq (Q21083018)
,The political ideologies of the Fuerza Nacional and the Fahd's Revolutionary Organization go hand in hand.,FALSE,Fahd's Revolutionary Organization (Q5429515)
C35,Michael Seymour could have taken part in the 1947 Opium war.,FALSE,
,John Rous could have taken part in the 1947 Opium war.,FALSE,John Rous (Q3182385)
,Edward Charlton could have taken part in the 1947 Opium war.,FALSE,Edward Charlton (Q5342277)
,John Sheridan could have taken part in the 1947 Opium war.,FALSE,John Sheridan (Q6257620)
,Henry Blagrove could have taken part in the 1947 Opium war.,FALSE,Henry Blagrove (Q5718257)
,Robert Duff could have taken part in the 1947 Opium war.,FALSE,Robert Duff (Q648957)
,Richard Edwards could have taken part in the 1947 Opium war.,FALSE,Richard Edwards (Q7325459)
,Thomas Brodrick could have taken part in the 1947 Opium war.,FALSE,Thomas Brodrick (Q7787922)
,Joseph Baker could have taken part in the 1947 Opium war.,FALSE,Joseph Baker (Q2412452)
,Frederick Marryat could have taken part in the 1947 Opium war.,FALSE,Frederick Marryat (Q467770)
,David Norris could have taken part in the 1947 Opium war.,FALSE,David Norris (Q5238085)
C36,Martin Slobodník is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,
,Mojca Stegnar is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,Mojca Stegnar (Q63208652)
,Aleksandra Pivec is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,Aleksandra Pivec (Q56612692)
,Irina Milisav is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,Irina Milisav (Q90459626)
,Olga Vasiljeva is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,Olga Vasiljeva (Q90708418)
,Nada Pipan Nemec is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,Nada Pipan Nemec (Q48296065)
,Gregor Drago Zupančič is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,Gregor Drago Zupančič (Q61133910)
,Petra Finderle is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,Petra Finderle (Q92941281)
,Mladen Est is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,Mladen Est (Q12796898)
,Igor Križaj is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,Igor Križaj (Q90271488)
,Katja Pirc is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,Katja Pirc (Q93074238)
C37,Nodar Khashba and Margaret Thatcher held the same position but in different times and locations.,TRUE,
,Nodar Khashba and Margaret Thatcher held the same position but in different times and locations.,TRUE,Yan Ying (Q1045306)
,Ikhlas Khan and Margaret Thatcher held the same position but in different times and locations.,TRUE,Ikhlas Khan (Q59911492)
,Rainilaiarivony and Margaret Thatcher held the same position but in different times and locations.,TRUE,Rainilaiarivony (Q528996)
,Chatchai Chunhawan and Margaret Thatcher held the same position but in different times and locations.,TRUE,Chatchai Chunhawan (Q701841)
,Ranga Nath Poudyal and Margaret Thatcher held the same position but in different times and locations.,TRUE,Ranga Nath Poudyal (Q4252299)
,Karen Karapetyan and Margaret Thatcher held the same position but in different times and locations.,TRUE,Karen Karapetyan (Q1979923)
,Ahmad Maher and Margaret Thatcher held the same position but in different times and locations.,TRUE,Ahmad Maher (Q1572537)
,Claudette Werleigh and Margaret Thatcher held the same position but in different times and locations.,TRUE,Claudette Werleigh (Q450359)
,Jabez Bunting Watkin and Margaret Thatcher held the same position but in different times and locations.,TRUE,Jabez Bunting Watkin (Q106322492)
,Jerónimo de Villanueva and Margaret Thatcher held the same position but in different times and locations.,TRUE,Jerónimo de Villanueva (Q14153128)
C38,Martina Di Bari mostly uses her foot when doing her job.,TRUE,
,Reza Karmolachaab mostly uses his foot when doing his job.,TRUE,Reza Karmolachaab (Q18637544)
,Sina Hatami mostly uses his foot when doing her job.,TRUE,Sina Hatami (Q118956180)
,Saeid Sadeghi mostly uses his foot when doing his job.,TRUE,Saeid Sadeghi (Q65195485)
,Mojtaba Bijan mostly uses his foot when doing his job.,TRUE,Mojtaba Bijan (Q65195060)
,Matin Karimzadeh mostly uses his foot when doing his job.,TRUE,Matin Karimzadeh (Q79708672)
,Sarawut Yodyinghathaikul mostly uses his foot when doing his job.,TRUE,Sarawut Yodyinghathaikul (Q83475148)
,Chanatphol Sikkamonthol mostly uses his foot when doing his job.,TRUE,Chanatphol Sikkamonthol (Q85165748)
,Rachan Prasitthong mostly uses his foot when doing his job.,TRUE,Rachan Prasitthong (Q85165820)
,Nattawut Chootiwat mostly uses his foot when doing his job.,TRUE,Nattawut Chootiwat (Q55584700)
,Korraphat Narichan mostly uses his foot when doing his job.,TRUE,Korraphat Narichan (Q55830108)
C39,Elizabeth Kaeton typically had to go to work on Sundays.,TRUE,
,Wiktor Wysoczański typically had to go to work on Sundays.,TRUE,Wiktor Wysoczański (Q666118)
,Štefan Pilárik typically had to go to work on Sundays.,TRUE,Štefan Pilárik (Q701772)
,Arsenios Autoreianos typically had to go to work on Sundays.,TRUE,Arsenios Autoreianos (Q704711)
,George Leslie Mackay typically had to go to work on Sundays.,TRUE,George Leslie Mackay (Q706561)
,Dionysios İsa Gürbüz typically had to go to work on Sundays.,TRUE,Dionysios İsa Gürbüz (Q576674)
,Emilianos Zacharopoulos typically had to go to work on Sundays.,TRUE,Emilianos Zacharopoulos (Q1337304)
,Erol Pürlü typically had to go to work on Sundays.,TRUE,Erol Pürlü (Q1361252)
,Yusuf Sağ typically had to go to work on Sundays.,TRUE,Yusuf Sağ (Q1683843)
,Gregorios Elias Tabé typically had to go to work on Sundays.,TRUE,Gregorios Elias Tabé (Q1545286)
,Mikail Nersès Sétian typically had to go to work on Sundays.,TRUE,Mikail Nersès Sétian (Q1932998)
C40,Maria Adeodata Pisani's life spanned two centuries.,FALSE,
,Antuvan Marovitch's life spanned two centuries.,FALSE,Antuvan Marovitch (Q610113)
,Léonce Tchantayan's life spanned two centuries.,FALSE,Léonce Tchantayan (Q1569841)
,Tiran Nersoyan's life spanned two centuries.,FALSE,Tiran Nersoyan (Q4262271)
,Remziye Hisar's life spanned two centuries.,FALSE,Remziye Hisar (Q5364158)
,Nejat Eczacıbaşı's life spanned two centuries.,FALSE,Nejat Eczacıbaşı (Q908757)
,Saffet Rıza Alpar's life spanned two centuries.,FALSE,Saffet Rıza Alpar (Q6060016)
,Fikret Saatçioğlu's life spanned two centuries.,FALSE,Fikret Saatçioğlu (Q6042644)
,Niyazi Lodos's life spanned two centuries.,FALSE,Niyazi Lodos (Q6101104)
,Hasan Peșmen's life spanned two centuries.,FALSE,Hasan Peșmen (Q5892623)
,Fahire Battalgazi's life spanned two centuries.,FALSE,Fahire Battalgazi (Q6094904)
C41,Francesco Totti and Ilary Blasi are experiencing a successful marriage.,FALSE,
,Mohammad Mansouri and Zob Ahan F.C. are experiencing a successful professional relationship.,FALSE,Mohammad Mansouri (Q6892165)
,Mohammad Mansouri and Sanat Mes Kerman F.C. are experiencing a successful professional relationship.,FALSE,Mohammad Mansouri (Q6892165)
,Mohammad Mansouri and Saipa F.C. are experiencing a successful professional relationship.,FALSE,Mohammad Mansouri (Q6892165)
,"Mohammad Momeni and 
Payam Mashhad F.C. are experiencing a successful professional relationship.",FALSE,Mohammad Momeni (Q6892203)
,Mohammad Momeni and Polyacryl Esfahan F.C. are experiencing a successful professional relationship.,FALSE,Mohammad Momeni (Q6892203)
,Mohammad Momeni and Esteghlal F.C. are experiencing a successful professional relationship.,FALSE,Mohammad Momeni (Q6892203)
,Mohammad Momeni and Erzurumspor are experiencing a successful professional relationship.,FALSE,Mohammad Momeni (Q6892203)
,Mohammad Momeni and Saipa F.C. are experiencing a successful professional relationship.,FALSE,Mohammad Momeni (Q6892203)
,Mohammad Momeni and Rah Ahan F.C. are experiencing a successful professional relationship.,FALSE,Mohammad Momeni (Q6892203)
,Mohammad Momeni and Homa F.C. are experiencing a successful professional relationship.,FALSE,Mohammad Momeni (Q6892203)
C42,Emmanuel Paman has likely participated in the Río de la Plata Challenger.,FALSE,
,Reza Karmolachaab has likely participated in the Río de la Plata Challenger.,FALSE,Reza Karmolachaab (Q18637544)
,Sina Hatami has likely participated in the Río de la Plata Challenger.,FALSE,Sina Hatami (Q118956180)
,Saeid Sadeghi has likely participated in the Río de la Plata Challenger.,FALSE,Saeid Sadeghi (Q65195485)
,Mojtaba Bijan has likely participated in the Río de la Plata Challenger.,FALSE,Mojtaba Bijan (Q65195060)
,Matin Karimzadeh has likely participated in the Río de la Plata Challenger.,FALSE,Matin Karimzadeh (Q79708672)
,Sarawut Yodyinghathaikul has likely participated in the Río de la Plata Challenger.,FALSE,Sarawut Yodyinghathaikul (Q83475148)
,Chanatphol Sikkamonthol has likely participated in the Río de la Plata Challenger.,FALSE,Chanatphol Sikkamonthol (Q85165748)
,Rachan Prasitthong has likely participated in the Río de la Plata Challenger.,FALSE,Rachan Prasitthong (Q85165820)
,Nattawut Chootiwat has likely participated in the Río de la Plata Challenger.,FALSE,Nattawut Chootiwat (Q55584700)
,Korraphat Narichan has likely participated in the Río de la Plata Challenger.,FALSE,Korraphat Narichan (Q55830108)
C43,One can see the Alaviyan Dome and the Dome of Soltaniyeh at the same time.,FALSE,
,One can see the Alaviyan Dome and Sheikh Zahed's Tomb at the same time.,FALSE,Sheikh-Zahed Tomb (Q5955713)
,One can see the Alaviyan Dome and the Imamzadeh Zeid at the same time.,FALSE,Imamzadeh Zeid (Q130627658)
,One can see the Alaviyan Dome and the Imamzadeh Taher and Mansur at the same time.,FALSE,Imamzadeh Taher and Mansur (Q19363248)
,One can see the Alaviyan Dome and the Imamzadeh Zeid ibn Ali at the same time.,FALSE,Imamzadeh Zeid ibn Ali (Q42623923)
,One can see the Alaviyan Dome and the Imamzadeh Abu al-Harith at the same time.,FALSE,Imamzadeh Abu al-Harith (Q115626556)
,One can see the Alaviyan Dome and the Imamzadeh Delavar at the same time.,FALSE,Imamzadeh Delavar (Q116742577)
,One can see the Alaviyan Dome and the Imamzadeh Hejdah Tan at the same time.,FALSE,Imamzadeh Hejdah Tan (Q116965303
,One can see the Alaviyan Dome and the Shah Rukn al-Din Mausoleum at the same time.,FALSE,Shah Rukn al-Din Mausoleum (Q5884368)
,One can see the Alaviyan Dome and the Mir Bozorg Mausoleum at the same time.,FALSE,Mir Bozorg Mausoleum (Q6563654)
,One can see the Alaviyan Dome and the Imamzadeh Golchaqaneh at the same time.,FALSE,Imamzadeh Golchaqaneh (Q5891355)
C44,Iryna Antypenko may be the next president of the Russian federation.,FALSE,
,Oleksandr Yakymenko may be the next president of the Russian federation.,FALSE,Oleksandr Yakymenko (Q12173443)
,Oleksandr Vasyliev may be the next president of the Russian federation.,FALSE,Oleksandr Vasyliev (Q12087964)
,Oleksandr Savchuk may be the next president of the Russian federation.,FALSE,Oleksandr Savchuk (Q4404328)
,Ihor Shopin may be the next president of the Russian federation.,FALSE,Ihor Shopin (Q4526125)
,Mykola Popov may be the next president of the Russian federation.,FALSE,Mykola Popov (Q22137833)
,Andrii Kiselov may be the next president of the Russian federation.,FALSE,Andrii Kiselov (Q22259675)
,Bohdan Onufryk may be the next president of the Russian federation.,FALSE,Bohdan Onufryk (Q22259669)
,Mykola Horyn may be the next president of the Russian federation.,FALSE,Mykola Horyn (Q11787562)
,Antonina Koval may be the next president of the Russian federation.,FALSE,Antonina Koval (Q22665562)
,Ivan Shvak may be the next president of the Russian federation.,FALSE,Ivan Shvak (Q12073613)
C45,Rahi Mo'ayyeri died with no children.,TRUE,
,Surapong Tovichakchaikul died with no children.,TRUE,Surapong Tovichakchaikul (Q117648)
,Mario Tamagno died with no children.,TRUE,Mario Tamagno (Q128169)
,Birabongse Bhanudej died with no children.,TRUE,Birabongse Bhanudej (Q173204)
,Emmanuelle Arsan died with no children.,TRUE,Emmanuelle Arsan (Q239376)
,Samak Sundaravej died with no children.,TRUE,Samak Sundaravej (Q243623)
,Payao Poontarat died with no children.,TRUE,Payao Poontarat (Q260409)
,Itthithepsan Kritakara died with no children.,TRUE,Itthithepsan Kritakara (Q268369)
,Raphi Kanchanaraphi died with no children.,TRUE,Raphi Kanchanaraphi (Q280610)
,Nouhak Phoumsavanh died with no children.,TRUE,Nouhak Phoumsavanh (Q380421)
,Suchart Chaovisith died with no children.,TRUE,Suchart Chaovisith (Q459915)
C46,Park Hon-young didn't care about the Catholic Commandments.,TRUE,
,Abdelkhader Houamel didn't care about the Catholic Commandments.,TRUE,Abdelkhader Houamel (Q2821110)
,Leda Rafanelli didn't care about the Catholic Commandments.,TRUE,Leda Rafanelli (Q3829348)
,Gabriele Torsello didn't care about the Catholic Commandments.,TRUE,Gabriele Torsello (Q3756689)
,Mario Scialoja didn't care about the Catholic Commandments.,TRUE,Mario Scialoja (Q6764962)
,Pietrangelo Buttafuoco didn't care about the Catholic Commandments.,TRUE,Pietrangelo Buttafuoco (Q3903586)
,Francesca Bocca-Aldaqre didn't care about the Catholic Commandments.,TRUE,Francesca Bocca-Aldaqre (Q73106362)
,Adnane Mokrani didn't care about the Catholic Commandments.,TRUE,Adnane Mokrani (Q15781491)
,Felix Sturm didn't care about the Catholic Commandments.,TRUE,Felix Sturm (Q77343)
,Mario Rossi didn't care about the Catholic Commandments.,TRUE,Mario Rossi (Q104834437)
,Kristiane Backer didn't care about the Catholic Commandments.,TRUE,Kristiane Backer (Q75867)
C47,The only thing required to play Ahmed-Hasan Khokhar's favourite sport is a raquet.,FALSE,
,The only thing required to play Meghha Vakaria's favourite sport is a raquet.,FALSE,Meghha Vakaria (Q106613059)
,The only thing required to play Karan Singh's favourite sport is a raquet.,FALSE,Karan Singh (Q130817427)
,The only thing required to play Malikaa Marathe's favourite sport is a raquet.,FALSE,Malikaa Marathe (Q63191311)
,The only thing required to play Zeeshan Ali's favourite sport is a raquet.,FALSE,Zeeshan Ali (Q184419)
,The only thing required to play Manas Dhamne's favourite sport is a raquet.,FALSE,Manas Dhamne (Q116186767)
,The only thing required to play Akhtar Ali's favourite sport is a raquet.,FALSE,Akhtar Ali (Q4700801)
,The only thing required to play Vidisha Baliyan's favourite sport is a raquet.,FALSE,Vidisha Baliyan (Q66771295)
,The only thing required to play Akanksha Dileep Nitture's favourite sport is a raquet.,FALSE,Akanksha Dileep Nitture (Q106288085)
,The only thing required to play Ramanathan Krishnan's favourite sport is a raquet.,FALSE,Ramanathan Krishnan (Q1559952)
,The only thing required to play Asif Ismail's favourite sport is a raquet.,FALSE,Asif Ismail (Q4806913)
C48,Winning the US Open was likely one of the greatest professional achievments that Ankita Bhambri could dream of.,TRUE,
,Winning the US Open was likely one of the greatest professional achievments that Meghha Vakaria could dream of.,TRUE,Meghha Vakaria (Q106613059)
,Winning the US Open was likely one of the greatest professional achievments that Karan Singh could dream of.,TRUE,Karan Singh (Q130817427)
,Winning the US Open was likely one of the greatest professional achievments that Malikaa Marathe could dream of.,TRUE,Malikaa Marathe (Q63191311)
,Winning the US Open was likely one of the greatest professional achievments that Zeeshan Ali could dream of.,TRUE,Zeeshan Ali (Q184419)
,Winning the US Open was likely one of the greatest professional achievments that Manas Dhamne could dream of.,TRUE,Manas Dhamne (Q116186767)
,Winning the US Open was likely one of the greatest professional achievments that Akhtar Ali could dream of.,TRUE,Akhtar Ali (Q4700801)
,Winning the US Open was likely one of the greatest professional achievments that Vidisha Baliyan could dream of.,TRUE,Vidisha Baliyan (Q66771295)
,Winning the US Open was likely one of the greatest professional achievments that Akanksha Dileep Nitture could dream of.,TRUE,Akanksha Dileep Nitture (Q106288085)
,Winning the US Open was likely one of the greatest professional achievments that Ramanathan Krishnan could dream of.,TRUE,Ramanathan Krishnan (Q1559952)
,Winning the US Open was likely one of the greatest professional achievments that Asif Ismail could dream of.,TRUE,Asif Ismail (Q4806913)
C49,Hussein Ali Shido's party supported anti-capitalism.,FALSE,
,Omar Muhamoud Finnish's party supported anti-capitalism.,FALSE,Omar Muhamoud Finnish (Q7089773)
,Ali Mahdi Muhammad's party supported anti-capitalism.,FALSE,Ali Mahdi Muhammad (Q732062)
,Hilowle Imam Omar's party supported anti-capitalism.,FALSE,Hilowle Imam Omar (Q5764338)
,Ali Mohamed Osoble's party supported anti-capitalism.,FALSE,Ali Mohamed Osoble (Q4725026)
,Vilho Viita's party supported anti-capitalism.,FALSE,Vilho Viita (Q89579884)
,Kosti-Paavo Eerolainen's party supported anti-capitalism.,FALSE,Kosti-Paavo Eerolainen (Q5392049)
,Matti Calonius's party supported anti-capitalism.,FALSE,Matti Calonius (Q95370642)
,Artturi Vuorimaa's party supported anti-capitalism.,FALSE,Artturi Vuorimaa (Q11852898)
,Arvi Kalsta's party supported anti-capitalism.,FALSE,Arvi Kalsta (Q5898360)
,Vilho Annala's party supported anti-capitalism.,FALSE,Vilho Annala (Q7930193)
C50,Pindale Min's death was related to a pandemic disease.,FALSE,
,Dirk van der Veen's death was related to a pandemic disease.,FALSE,Dirk van der Veen (Q19118828)
,James Kisner's death was related to a pandemic disease.,FALSE,James Kisner (Q15452600)
,Popcorn Sutton's death was related to a pandemic disease.,FALSE,Popcorn Sutton (Q12409514)
,Reino Karpola's death was related to a pandemic disease.,FALSE,Reino Karpola (Q11890484)
,Roger D. Hansen's death was related to a pandemic disease.,FALSE,Roger D. Hansen (Q125920942)
,Nick Yankovic's death was related to a pandemic disease.,FALSE,Nick Yankovic (Q17378022)
,Mary Yankovic's death was related to a pandemic disease.,FALSE,Mary Yankovic (Q17378023)
,Helmut Köllen's death was related to a pandemic disease.,FALSE,Helmut Köllen (Q5709669)
,Ahn Jae-hwan's death was related to a pandemic disease.,FALSE,Ahn Jae-hwan (Q485015)
,Mario Bugeanu's death was related to a pandemic disease.,FALSE,Mario Bugeanu (Q12735025)
C51,It is logical to ask for cooking advice from María Mestayer.,TRUE,
,It is logical to ask for cooking advice from Naz Deravian.,TRUE,Naz Deravian (Q114862301)
,It is logical to ask for cooking advice from Navab Ebrahimi.,TRUE,Navab Ebrahimi (Q116045876)
,It is logical to ask for cooking advice from Hanif Sadr.,TRUE,Hanif Sadr (Q114583233)
,It is logical to ask for cooking advice from Louisa Shafia.,TRUE,Louisa Shafia (Q113504713)
,It is logical to ask for cooking advice from Roza Montazemi.,TRUE,Roza Montazemi (Q7375305)
,It is logical to ask for cooking advice from javad khodadadi kasanagh.,TRUE,javad khodadadi kasanagh (Q116728985)
,It is logical to ask for cooking advice from Pezhman Alizadeh.,TRUE,Pezhman Alizadeh (Q124261914)
,It is logical to ask for cooking advice from Sabrina Ghayour.,TRUE,Sabrina Ghayour (Q18391849)
,It is logical to ask for cooking advice from Al Yeganeh.,TRUE,Al Yeganeh (Q124839037)
,It is logical to ask for cooking advice from Cleopatra Broumand.,TRUE,Cleopatra Broumand (Q5131732)
C52,Oh Seong-ok's country is split to two East and West sovereign states.,FALSE,
,Jeong Heon-ju's country is split to two East and West sovereign states.,FALSE,Jeong Heon-ju (Q16177887)
,Sin-myŏng Kang's country is split to two East and West sovereign states.,FALSE,Sin-myŏng Kang (Q16177721)
,In-gŭn Pang's country is split to two East and West sovereign states.,FALSE,In-gŭn Pang (Q16177590)
,Kim Woo-jin's country is split to two East and West sovereign states.,FALSE,Kim Woo-jin (Q16177202)
,Pŏm-bu Kim's country is split to two East and West sovereign states.,FALSE,Pŏm-bu Kim (Q16174814)
,Ŏm Hang-sŏp's country is split to two East and West sovereign states.,FALSE,Ŏm Hang-sŏp (Q16174709)
,Seo Jeong-won's country is split to two East and West sovereign states.,FALSE,Seo Jeong-won (Q16171625)
,Choi Tae-min's country is split to two East and West sovereign states.,FALSE,Choi Tae-min (Q16262161)
,Bae Min-su's country is split to two East and West sovereign states.,FALSE,Bae Min-su (Q18732374)
,Park Jae-hee's country is split to two East and West sovereign states.,FALSE,Park Jae-hee (Q20855812)
C53,Yaroslav Fedoryshyn ceases to act in movies.,TRUE,
,Fakhri Nikzad ceases to act in movies.,TRUE,Fakhri Nikzad (Q65195331)
,Hossein Erfani ceases to act in movies.,TRUE,Hossein Erfani (Q5944145)
,Mohsen Yousef-Beik ceases to act in movies.,TRUE,Mohsen Yousef-Beik (Q5946718)
,Ghasem Bahram Afshar ceases to act in movies.,TRUE,Ghasem Bahram Afshar (Q5961159)
,Arshak Ghokasian ceases to act in movies.,TRUE,Arshak Ghokasian (Q5963795)
,Ali Abolhassani ceases to act in movies.,TRUE,Ali Abolhassani (Q97219088)
,Hooshang Latifpour ceases to act in movies.,TRUE,Hooshang Latifpour (Q5728398)
,Amir-Hushang Qetei ceases to act in movies.,TRUE,Amir-Hushang Qetei (Q5733661)
,Mohammad Khajaviha ceases to act in movies.,TRUE,Mohammad Khajaviha (Q5940924)
,Hamid Manouchehri ceases to act in movies.,TRUE,Hamid Manouchehri (Q17994036)
C54,Władysław Folkierski had likely learned the knowledge required to design suspension bridges.,TRUE,
,Jessica Bohorquez had likely learned the knowledge required to design suspension bridges.,TRUE,Jessica Bohorquez (Q115611822)
,Miklós Szalay had likely learned the knowledge required to design suspension bridges.,TRUE,Miklós Szalay (Q1294315)
,Antonio Agresta had likely learned the knowledge required to design suspension bridges.,TRUE,Antonio Agresta (Q109658017)
,Pierluigi Furcolo had likely learned the knowledge required to design suspension bridges.,TRUE,Pierluigi Furcolo (Q111796818)
,Elena Belozerova had likely learned the knowledge required to design suspension bridges.,TRUE,Elena Belozerova (Q112119372)
,Jacques Bonnin had likely learned the knowledge required to design suspension bridges.,TRUE,Jacques Bonnin (Q112495639)
,Henk Jan Verhagen had likely learned the knowledge required to design suspension bridges.,TRUE,Henk Jan Verhagen (Q113643198)
